Timestamp,Name (First and Last),Purdue Email,Do you agree to uphold our Code of Conduct?,How talkative are you?,Do you think you will attend the conversation the entire time?,"Do you want to be placed in a group with friends? If so, please list them in ""other"".",Are you able to access an area without a ramp or stairs?,Where do you lean politically?,How did you hear about this event?,Other
1/31/22 9:32,Bethan Ramos,green380@purdue.edu,Yes,Talkative,Yes,No,Yes,Left,Discord,
1/31/22 9:32,Olli Blaese,green380@purdue.edu,Yes,Somewhat talkative,Yes,No,Yes,Center,GroupMe,
1/31/22 9:32,Blaine Young,green380@purdue.edu,Yes,Somewhat talkative,Yes,No,Yes,Center,GroupMe,
1/31/22 9:33,Krish Chavez,green380@purdue.edu,Yes,Talkative,Yes,No,Yes,Left,GroupMe,
1/31/22 9:33,Arley Lloyd,green380@purdue.edu,Yes,Not talkative,Yes,No,Yes,Center,Discord,
1/31/22 9:34,Kurtis Bouvet,green380@purdue.edu,Yes,Somewhat talkative,Yes,Yes,Yes,Left,GroupMe,Arley Lloyd
1/31/22 9:34,Ayoub Boyle,green380@purdue.edu,Yes,Talkative,Yes,No,Yes,Center,Discord,
1/31/22 9:37,Niall Greenaway,green380@purdue.edu,Yes,Somewhat talkative,Yes,No,Yes,Center,GroupMe,
1/31/22 9:39,Nathanael Kelly,green380@purdue.edu,Yes,Talkative,Yes,No,Yes,Center,Discord,
1/31/22 9:43,Rian O'Brien,green380@purdue.edu,Yes,Somewhat talkative,Yes,Yes,Yes,Center,Discord,Sama Bailey
1/31/22 10:40,Hayley Shaffer,green380@purdue.edu,Yes,Somewhat talkative,Yes,No,Yes,Left,Discord,
1/31/22 10:42,Cherise Mcbride,green380@purdue.edu,Yes,Talkative,Yes,No,Yes,Left,GroupMe,
1/31/22 11:23,Arissa Bell,green380@purdue.edu,Yes,Very talkative,Yes,Yes,Yes,Right,Discord,"Kalvin Vincent, and Olli Blaese"
1/31/22 11:59,Ezekiel Carter,green380@purdue.edu,Yes,Very talkative,Yes,No,Yes,Left,Discord,
1/31/22 19:13,Kalvin Vincent,green380@purdue.edu,Yes,Not talkative,Yes,No,Yes,Right,GroupMe,
1/31/22 22:24,Amber-Rose Byrne,green380@purdue.edu,Yes,Talkative,Yes,No,Yes,Center,GroupMe,
1/31/22 23:29,Jayden-James Ali,green380@purdue.edu,Yes,Somewhat talkative,Yes,No,Yes,Left,GroupMe,
2/1/22 15:35,Lynsey Corbett,green380@purdue.edu,Yes,Talkative,Yes,No,Yes,Center,Discord,
2/1/22 16:17,Sama Bailey,green380@purdue.edu,Yes,Talkative,Yes,Yes,Yes,Center,GroupMe,Arissa Bell
2/1/22 19:08,Marnie Clayton,green380@purdue.edu,Yes,Somewhat talkative,Yes,No,Yes,Left,Discord,
2/2/22 9:25,Hayleigh Newman,green380@purdue.edu,Yes,Somewhat talkative,Yes,No,Yes,Left,Discord,
2/2/22 9:29,Aleah Christensen,green380@purdue.edu,Yes,Talkative,Yes,No,Yes,Center,Discord,
2/2/22 10:38,Khadeejah Davidson,green380@purdue.edu,Yes,Talkative,Maybe,Yes,Yes,Center,Discord,Adeel Best
2/2/22 13:46,Adeel Best,green380@purdue.edu,Yes,Very talkative,Yes,No,Yes,Left,Discord,
2/2/22 17:43,Ayesha Murphy,green380@purdue.edu,Yes,Somewhat talkative,Yes,No,Yes,Left,Discord,
